iter	Passed	Remaining
0	18	18027
1	35	17770
2	53	17734
3	69	17337
4	86	17151
5	102	17053
6	119	16928
7	135	16849
8	154	17042
9	172	17028
10	188	16946
11	205	16905
12	222	16904
13	240	16939
14	258	16953
15	276	16995
16	292	16927
17	309	16911
18	326	16875
19	345	16948
20	364	16982
21	383	17067
22	403	17119
23	421	17155
24	440	17168
25	457	17145
26	473	17077
27	489	17005
28	507	16998
29	523	16933
30	541	16919
31	557	16852
32	573	16795
33	590	16786
34	607	16757
35	623	16691
36	640	16661
37	656	16631
38	672	16581
39	689	16546
40	705	16500
41	721	16446
42	737	16408
43	755	16405
44	773	16420
45	791	16414
46	806	16360
47	823	16336
48	840	16306
49	857	16284
50	873	16249
51	888	16205
52	904	16164
53	920	16125
54	936	16083
55	952	16048
56	968	16025
57	985	16004
58	1001	15977
59	1018	15954
60	1034	15924
61	1050	15892
62	1066	15855
63	1081	15824
64	1100	15827
65	1118	15831
66	1138	15853
67	1155	15840
68	1174	15851
69	1191	15827
70	1206	15787
71	1222	15762
72	1239	15737
73	1256	15727
74	1273	15705
75	1290	15687
76	1307	15671
77	1323	15642
78	1339	15616
79	1355	15587
80	1372	15566
81	1388	15546
82	1404	15520
83	1421	15501
84	1437	15475
85	1453	15449
86	1470	15427
87	1486	15408
88	1502	15380
89	1519	15363
90	1535	15333
91	1551	15317
92	1567	15291
93	1582	15256
94	1598	15224
95	1613	15197
96	1629	15168
97	1645	15148
98	1661	15125
99	1678	15110
100	1695	15091
101	1711	15067
102	1727	15043
103	1743	15020
104	1760	15005
105	1776	14978
106	1792	14956
107	1808	14935
108	1825	14920
109	1843	14915
110	1859	14894
111	1875	14866
112	1890	14838
113	1906	14816
114	1921	14789
115	1938	14773
116	1954	14749
117	1970	14725
118	1985	14701
119	2001	14678
120	2016	14652
121	2033	14631
122	2048	14607
123	2065	14589
124	2080	14566
125	2096	14545
126	2113	14530
127	2128	14501
128	2144	14479
129	2160	14460
130	2176	14439
131	2193	14425
132	2209	14401
133	2225	14379
134	2240	14357
135	2257	14341
136	2272	14313
137	2288	14296
138	2304	14275
139	2322	14265
140	2338	14246
141	2354	14225
142	2370	14208
143	2385	14179
144	2401	14162
145	2417	14143
146	2433	14119
147	2448	14097
148	2465	14079
149	2481	14060
150	2497	14039
151	2512	14019
152	2528	13998
153	2546	13987
154	2561	13966
155	2576	13942
156	2593	13925
157	2610	13913
158	2626	13890
159	2642	13870
160	2658	13854
161	2675	13841
162	2691	13822
163	2708	13805
164	2724	13787
165	2740	13766
166	2756	13747
167	2771	13726
168	2786	13702
169	2802	13681
170	2818	13664
171	2836	13653
172	2852	13636
173	2868	13619
174	2886	13607
175	2903	13595
176	2919	13575
177	2935	13556
178	2951	13538
179	2968	13520
180	2984	13502
181	2998	13475
182	3013	13454
183	3029	13435
184	3045	13418
185	3063	13405
186	3079	13386
187	3094	13365
188	3110	13347
189	3126	13328
190	3142	13308
191	3158	13291
192	3173	13268
193	3190	13254
194	3206	13236
195	3221	13216
196	3238	13199
197	3253	13180
198	3269	13159
199	3284	13139
200	3301	13123
201	3316	13101
202	3332	13084
203	3349	13069
204	3365	13049
205	3380	13030
206	3395	13009
207	3411	12988
208	3426	12969
209	3443	12955
210	3459	12934
211	3473	12911
212	3489	12891
213	3504	12872
214	3521	12855
215	3535	12834
216	3551	12815
217	3567	12798
218	3583	12780
219	3599	12760
220	3616	12746
221	3631	12726
222	3648	12712
223	3666	12702
224	3683	12686
225	3700	12674
226	3718	12662
227	3736	12653
228	3753	12639
229	3770	12623
230	3789	12614
231	3806	12602
232	3823	12587
233	3840	12573
234	3858	12560
235	3875	12545
236	3892	12530
237	3909	12515
238	3926	12501
239	3944	12491
240	3964	12485
241	3981	12470
242	3999	12458
243	4016	12445
244	4033	12431
245	4050	12415
246	4066	12397
247	4083	12381
248	4099	12365
249	4116	12348
250	4132	12332
251	4150	12320
252	4167	12304
253	4184	12289
254	4202	12277
255	4218	12260
256	4234	12241
257	4249	12221
258	4266	12205
259	4283	12191
260	4311	12208
261	4332	12203
262	4350	12191
263	4369	12180
264	4386	12166
265	4404	12154
266	4422	12141
267	4440	12127
268	4457	12113
269	4475	12099
270	4494	12089
271	4511	12075
272	4528	12059
273	4546	12047
274	4564	12033
275	4581	12017
276	4598	12001
277	4616	11990
278	4634	11976
279	4650	11959
280	4668	11944
281	4684	11927
282	4701	11910
283	4717	11893
284	4734	11877
285	4751	11862
286	4769	11848
287	4787	11834
288	4804	11820
289	4822	11807
290	4839	11790
291	4857	11777
292	4874	11761
293	4890	11743
294	4906	11724
295	4921	11706
296	4936	11685
297	4952	11667
298	4969	11650
299	4992	11650
300	5012	11640
301	5031	11629
302	5049	11615
303	5066	11600
304	5085	11587
305	5103	11574
306	5120	11557
307	5136	11541
308	5154	11526
309	5172	11512
310	5190	11498
311	5208	11484
312	5226	11471
313	5243	11455
314	5261	11441
315	5279	11427
316	5300	11419
317	5325	11421
318	5350	11422
319	5372	11417
320	5392	11407
321	5413	11399
322	5435	11392
323	5457	11385
324	5481	11383
325	5502	11376
326	5523	11367
327	5556	11384
328	5578	11377
329	5603	11376
330	5626	11371
331	5653	11374
332	5702	11421
333	5745	11455
334	5771	11457
335	5801	11464
336	5825	11460
337	5846	11449
338	5865	11436
339	5885	11424
340	5904	11410
341	5925	11399
342	5955	11407
343	5979	11402
344	5996	11385
345	6016	11372
346	6033	11353
347	6051	11337
348	6069	11322
349	6090	11310
350	6115	11308
351	6141	11305
352	6162	11295
353	6182	11281
354	6202	11268
355	6224	11259
356	6243	11246
357	6263	11232
358	6285	11222
359	6306	11211
360	6326	11198
361	6352	11195
362	6376	11188
363	6397	11177
364	6418	11167
365	6439	11154
366	6458	11138
367	6476	11122
368	6495	11107
369	6511	11087
370	6528	11069
371	6549	11056
372	6569	11042
373	6587	11025
374	6606	11010
375	6626	10996
376	6645	10982
377	6665	10967
378	6683	10950
379	6701	10934
380	6719	10917
381	6737	10900
382	6755	10883
383	6773	10865
384	6791	10849
385	6810	10833
386	6829	10817
387	6847	10800
388	6865	10784
389	6882	10765
390	6900	10748
391	6919	10732
392	6937	10715
393	6954	10697
394	6972	10679
395	6989	10661
396	7006	10641
397	7023	10623
398	7041	10607
399	7058	10588
400	7076	10570
401	7092	10550
402	7112	10535
403	7129	10517
404	7147	10500
405	7165	10482
406	7189	10475
407	7211	10463
408	7235	10455
409	7261	10449
410	7290	10448
411	7309	10431
412	7326	10412
413	7346	10398
414	7365	10382
415	7406	10397
416	7436	10397
417	7467	10397
418	7499	10399
419	7522	10388
420	7541	10372
421	7587	10392
422	7614	10386
423	7640	10379
424	7664	10369
425	7702	10378
426	7731	10375
427	7789	10410
428	7889	10501
429	7930	10512
430	7958	10506
431	7983	10497
432	8007	10485
433	8031	10474
434	8057	10465
435	8080	10452
436	8098	10434
437	8115	10413
438	8133	10393
439	8149	10372
440	8170	10357
441	8190	10340
442	8210	10323
443	8232	10308
444	8257	10298
445	8281	10287
446	8315	10287
447	8343	10280
448	8366	10267
449	8388	10252
450	8409	10237
451	8429	10220
452	8510	10276
453	8534	10263
454	8554	10246
455	8574	10229
456	8601	10220
457	8626	10208
458	8653	10199
459	8673	10182
460	8695	10166
461	8716	10149
462	8735	10131
463	8753	10111
464	8773	10093
465	8792	10075
466	8808	10053
467	8827	10035
468	8847	10017
469	8864	9996
470	8883	9977
471	8904	9960
472	8923	9941
473	8942	9923
474	8961	9904
475	8979	9885
476	8999	9866
477	9018	9848
478	9035	9827
479	9055	9810
480	9073	9790
481	9095	9774
482	9112	9754
483	9131	9735
484	9150	9716
485	9169	9698
486	9188	9679
487	9204	9657
488	9224	9639
489	9245	9623
490	9266	9605
491	9285	9587
492	9307	9571
493	9327	9554
494	9346	9534
495	9366	9518
496	9385	9499
497	9402	9478
498	9421	9458
499	9441	9441
500	9461	9423
501	9486	9410
502	9504	9391
503	9520	9369
504	9536	9348
505	9553	9327
506	9571	9306
507	9589	9287
508	9606	9267
509	9628	9251
510	9647	9232
511	9664	9211
512	9682	9191
513	9700	9171
514	9717	9151
515	9734	9131
516	9751	9110
517	9769	9090
518	9787	9070
519	9805	9051
520	9823	9031
521	9844	9014
522	9863	8995
523	9881	8976
524	9900	8957
525	9919	8939
526	9938	8920
527	9962	8906
528	9985	8890
529	10019	8885
530	10040	8868
531	10063	8852
532	10080	8832
533	10097	8811
534	10116	8792
535	10133	8772
536	10151	8752
537	10168	8732
538	10186	8712
539	10204	8692
540	10221	8672
541	10239	8652
542	10257	8633
543	10276	8614
544	10296	8596
545	10314	8576
546	10330	8555
547	10348	8535
548	10364	8514
549	10380	8492
550	10395	8471
551	10411	8449
552	10428	8429
553	10446	8409
554	10462	8388
555	10478	8367
556	10496	8348
557	10514	8328
558	10531	8308
559	10548	8288
560	10565	8268
561	10584	8249
562	10605	8231
563	10624	8213
564	10640	8192
565	10660	8174
566	10679	8155
567	10697	8136
568	10716	8117
569	10737	8100
570	10760	8084
571	10782	8068
572	10802	8050
573	10819	8029
574	10838	8010
575	10856	7991
576	10874	7972
577	10896	7955
578	10915	7937
579	10934	7918
580	10955	7900
581	10974	7882
582	10992	7862
583	11011	7843
584	11029	7824
585	11048	7805
586	11067	7786
587	11086	7768
588	11107	7750
589	11126	7732
590	11145	7713
591	11165	7695
592	11184	7676
593	11202	7656
594	11221	7638
595	11242	7621
596	11261	7601
597	11280	7583
598	11298	7563
599	11316	7544
600	11335	7525
601	11354	7506
602	11373	7487
603	11391	7468
604	11408	7448
605	11429	7430
606	11450	7413
607	11468	7394
608	11487	7375
609	11506	7356
610	11524	7336
611	11540	7316
612	11557	7296
613	11573	7275
614	11589	7255
615	11604	7234
616	11621	7213
617	11637	7193
618	11654	7173
619	11671	7153
620	11691	7135
621	11710	7116
622	11726	7096
